Provinsi,Tahun,Kelapa_Sawit_Ton
BALI,2012,0
BALI,2013,0
BALI,2014,0
BALI,2015,0
BALI,2016,
BALI,2017,
BALI,2018,
BALI,2019,
BALI,2020,
NUSA TENGGARA BARAT,2008,
NUSA TENGGARA BARAT,2009,
NUSA TENGGARA BARAT,2010,
NUSA TENGGARA BARAT,2011,
NUSA TENGGARA BARAT,2012,0
NUSA TENGGARA BARAT,2013,0
NUSA TENGGARA BARAT,2014,0
NUSA TENGGARA BARAT,2015,0
NUSA TENGGARA BARAT,2016,
NUSA TENGGARA BARAT,2017,
NUSA TENGGARA BARAT,2018,38400
NUSA TENGGARA BARAT,2019,
NUSA TENGGARA BARAT,2020,
NUSA TENGGARA TIMUR,2008,
NUSA TENGGARA TIMUR,2009,
NUSA TENGGARA TIMUR,2010,
NUSA TENGGARA TIMUR,2011,
NUSA TENGGARA TIMUR,2012,0
NUSA TENGGARA TIMUR,2013,0
NUSA TENGGARA TIMUR,2014,0
NUSA TENGGARA TIMUR,2015,0
NUSA TENGGARA TIMUR,2016,
NUSA TENGGARA TIMUR,2017,
NUSA TENGGARA TIMUR,2018,
NUSA TENGGARA TIMUR,2019,
NUSA TENGGARA TIMUR,2020,
KALIMANTAN BARAT,2008,1124400
KALIMANTAN BARAT,2009,1331700
KALIMANTAN BARAT,2010,1426900
KALIMANTAN BARAT,2011,1443900
KALIMANTAN BARAT,2012,1830860
KALIMANTAN BARAT,2013,1794470
KALIMANTAN BARAT,2014,1965500
KALIMANTAN BARAT,2015,2168100
KALIMANTAN BARAT,2016,2192600
KALIMANTAN BARAT,2017,2529000
KALIMANTAN BARAT,2018,3086900
KALIMANTAN BARAT,2019,5235300
KALIMANTAN BARAT,2020,5471400
KALIMANTAN TENGAH,2008,1295700
KALIMANTAN TENGAH,2009,1798100
KALIMANTAN TENGAH,2010,1724700
KALIMANTAN TENGAH,2011,2499300
KALIMANTAN TENGAH,2012,2958280
KALIMANTAN TENGAH,2013,3127140
KALIMANTAN TENGAH,2014,3158200
KALIMANTAN TENGAH,2015,3573000
KALIMANTAN TENGAH,2016,4260100
KALIMANTAN TENGAH,2017,5209800
KALIMANTAN TENGAH,2018,7230100
KALIMANTAN TENGAH,2019,7664800
KALIMANTAN TENGAH,2020,7685800
KALIMANTAN SELATAN,2008,891100
KALIMANTAN SELATAN,2009,1041400
KALIMANTAN SELATAN,2010,1049200
KALIMANTAN SELATAN,2011,1045200
KALIMANTAN SELATAN,2012,1233080
KALIMANTAN SELATAN,2013,1244040
KALIMANTAN SELATAN,2014,1460600
KALIMANTAN SELATAN,2015,1049500
KALIMANTAN SELATAN,2016,1750400
KALIMANTAN SELATAN,2017,1560100
KALIMANTAN SELATAN,2018,1464200
KALIMANTAN SELATAN,2019,1665400
KALIMANTAN SELATAN,2020,1561100
KALIMANTAN TIMUR,2008,338400
KALIMANTAN TIMUR,2009,456400
KALIMANTAN TIMUR,2010,700000
KALIMANTAN TIMUR,2011,905500
KALIMANTAN TIMUR,2012,1298140
KALIMANTAN TIMUR,2013,1349780
KALIMANTAN TIMUR,2014,1407300
KALIMANTAN TIMUR,2015,1586600
KALIMANTAN TIMUR,2016,2358400
KALIMANTAN TIMUR,2017,2538700
KALIMANTAN TIMUR,2018,3786500
KALIMANTAN TIMUR,2019,3988900
KALIMANTAN TIMUR,2020,3823200
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
