Provinsi,Tahun,Bawang_Merah_Ton,
KEP. RIAU,2016,0,
KEP. RIAU,2017,1,
KEP. RIAU,2018,1,
KEP. RIAU,2019,95,
KEP. RIAU,2020,123,
DKI JAKARTA,2000,0,
DKI JAKARTA,2001,0,
DKI JAKARTA,2002,0,
DKI JAKARTA,2003,0,
DKI JAKARTA,2004,0,
DKI JAKARTA,2005,0,
DKI JAKARTA,2006,0,
DKI JAKARTA,2007,0,
DKI JAKARTA,2008,0,
DKI JAKARTA,2009,0,
DKI JAKARTA,2010,0,
DKI JAKARTA,2011,0,
DKI JAKARTA,2012,0,
DKI JAKARTA,2013,0,
DKI JAKARTA,2014,0,
DKI JAKARTA,2015,0,
DKI JAKARTA,2016,47,
DKI JAKARTA,2017,0,
DKI JAKARTA,2018,,
DKI JAKARTA,2019,0,
DKI JAKARTA,2020,0,
JAWA BARAT,2000,122391,
JAWA BARAT,2001,103326,
JAWA BARAT,2002,96619,
JAWA BARAT,2003,120219,
JAWA BARAT,2004,121194,
JAWA BARAT,2005,118795,
JAWA BARAT,2006,112966,
JAWA BARAT,2007,116141,
JAWA BARAT,2008,116927,
JAWA BARAT,2009,123587,
JAWA BARAT,2010,116396,
JAWA BARAT,2011,101273,
JAWA BARAT,2012,115896,
JAWA BARAT,2013,115585,
JAWA BARAT,2014,130083,
JAWA BARAT,2015,129148,
JAWA BARAT,2016,141504,
JAWA BARAT,2017,166865,
JAWA BARAT,2018,167769,
JAWA BARAT,2019,173463,
JAWA BARAT,2020,164827,
JAWA TENGAH,2000,237850,
JAWA TENGAH,2001,195021,
JAWA TENGAH,2002,215601,
JAWA TENGAH,2003,231052,
JAWA TENGAH,2004,230976,
JAWA TENGAH,2005,202692,
JAWA TENGAH,2006,253409,
JAWA TENGAH,2007,268916,
JAWA TENGAH,2008,379904,
JAWA TENGAH,2009,406724,
JAWA TENGAH,2010,506357,
JAWA TENGAH,2011,372256,
JAWA TENGAH,2012,381814,
JAWA TENGAH,2013,419472,
JAWA TENGAH,2014,519356,
JAWA TENGAH,2015,471169,
JAWA TENGAH,2016,546686,
JAWA TENGAH,2017,476337,
JAWA TENGAH,2018,445585,
JAWA TENGAH,2019,481890,
JAWA TENGAH,2020,611165,
DI YOGYAKARTA,2000,9751,
DI YOGYAKARTA,2001,21514,
DI YOGYAKARTA,2002,27038,
DI YOGYAKARTA,2003,24810,
DI YOGYAKARTA,2004,18818,
DI YOGYAKARTA,2005,21444,
DI YOGYAKARTA,2006,24511,
DI YOGYAKARTA,2007,15566,
DI YOGYAKARTA,2008,16998,
DI YOGYAKARTA,2009,19763,
DI YOGYAKARTA,2010,19950,
DI YOGYAKARTA,2011,14407,
DI YOGYAKARTA,2012,11854,
DI YOGYAKARTA,2013,9541,
DI YOGYAKARTA,2014,12360,
DI YOGYAKARTA,2015,8799,
DI YOGYAKARTA,2016,12241,
DI YOGYAKARTA,2017,13980,
DI YOGYAKARTA,2018,14950,
DI YOGYAKARTA,2019,16999,
DI YOGYAKARTA,2020,18811,
JAWA TIMUR,2000,221960,
JAWA TIMUR,2001,344642,
JAWA TIMUR,2002,223147,
JAWA TIMUR,2003,213818,
JAWA TIMUR,2004,224971,
JAWA TIMUR,2005,233098,
JAWA TIMUR,2006,232953,
JAWA TIMUR,2007,228083,
JAWA TIMUR,2008,181515,
JAWA TIMUR,2009,181489,
JAWA TIMUR,2010,203739,
JAWA TIMUR,2011,198388,
JAWA TIMUR,2012,222863,
JAWA TIMUR,2013,243087,
JAWA TIMUR,2014,293179,
JAWA TIMUR,2015,277121,
JAWA TIMUR,2016,304521,
JAWA TIMUR,2017,306316,
JAWA TIMUR,2018,367031,
JAWA TIMUR,2019,407877,
JAWA TIMUR,2020,454584,
BANTEN,2000,,
BANTEN,2001,496,
BANTEN,2002,357,
BANTEN,2003,211,
BANTEN,2004,222,
BANTEN,2005,218,
BANTEN,2006,159,
BANTEN,2007,246,
BANTEN,2008,157,
BANTEN,2009,669,
BANTEN,2010,351,
BANTEN,2011,421,
BANTEN,2012,1230,
BANTEN,2013,1835,
BANTEN,2014,1675,
BANTEN,2015,687,
BANTEN,2016,701,
BANTEN,2017,994,
BANTEN,2018,880,
BANTEN,2019,1545,
BANTEN,2020,1404,
BALI,2000,7259,
BALI,2001,11593,
BALI,2002,12502,
BALI,2003,12614,
BALI,2004,12697,
BALI,2005,11294,
BALI,2006,9916,
BALI,2007,9668,
BALI,2008,7759,
BALI,2009,11554,
BALI,2010,10981,
BALI,2011,9319,
BALI,2012,8666,
BALI,2013,7977,
BALI,2014,11884,
BALI,2015,10148,
BALI,2016,18024,
BALI,2017,20287,
BALI,2018,24267,
BALI,2019,19687,
BALI,2020,14207,
NUSA TENGGARA BARAT,2000,21315,
NUSA TENGGARA BARAT,2001,103012,
NUSA TENGGARA BARAT,2002,91151,
NUSA TENGGARA BARAT,2003,82838,
NUSA TENGGARA BARAT,2004,77237,
NUSA TENGGARA BARAT,2005,81369,
NUSA TENGGARA BARAT,2006,85681,
NUSA TENGGARA BARAT,2007,90180,
NUSA TENGGARA BARAT,2008,68749,
NUSA TENGGARA BARAT,2009,133945,
NUSA TENGGARA BARAT,2010,104324,
NUSA TENGGARA BARAT,2011,78300,
NUSA TENGGARA BARAT,2012,100990,
NUSA TENGGARA BARAT,2013,101628,
NUSA TENGGARA BARAT,2014,117513,
