Provinsi,Tahun,Daging_Ayam_Buras_Ton
KEP. RIAU,2013,892
KEP. RIAU,2014,540
KEP. RIAU,2015,1098.05
KEP. RIAU,2016,1197.75
KEP. RIAU,2017,1443.71
KEP. RIAU,2018,1442.78
KEP. RIAU,2019,1011.53
KEP. RIAU,2020,1061.03
DKI JAKARTA,2000,216
DKI JAKARTA,2001,4030
DKI JAKARTA,2002,3180
DKI JAKARTA,2003,4233
DKI JAKARTA,2004,4864
DKI JAKARTA,2005,3704
DKI JAKARTA,2006,5519
DKI JAKARTA,2007,4928
DKI JAKARTA,2008,4927.3
DKI JAKARTA,2009,5236.29
DKI JAKARTA,2010,5288.02
DKI JAKARTA,2011,5408
DKI JAKARTA,2012,2756
DKI JAKARTA,2013,33376
DKI JAKARTA,2014,2598
DKI JAKARTA,2015,2911.96
DKI JAKARTA,2016,9052.95
DKI JAKARTA,2017,0
DKI JAKARTA,2018,550.06
DKI JAKARTA,2019,1344.8
DKI JAKARTA,2020,1412.04
JAWA BARAT,2000,31558
JAWA BARAT,2001,25644
JAWA BARAT,2002,28024
JAWA BARAT,2003,28969
JAWA BARAT,2004,28492
JAWA BARAT,2005,28687
JAWA BARAT,2006,27140
JAWA BARAT,2007,25724
JAWA BARAT,2008,25698.08
JAWA BARAT,2009,25945.26
JAWA BARAT,2010,25358.82
JAWA BARAT,2011,27320
JAWA BARAT,2012,25683
JAWA BARAT,2013,27149
JAWA BARAT,2014,26553
JAWA BARAT,2015,25207.54
JAWA BARAT,2016,25643.09
JAWA BARAT,2017,26860.05
JAWA BARAT,2018,25657.36
JAWA BARAT,2019,28040.37
JAWA BARAT,2020,26942.51
JAWA TENGAH,2000,34476
JAWA TENGAH,2001,38373
JAWA TENGAH,2002,36851
JAWA TENGAH,2003,38755
JAWA TENGAH,2004,38559
JAWA TENGAH,2005,38693
JAWA TENGAH,2006,41108
JAWA TENGAH,2007,38492
JAWA TENGAH,2008,36067.55
JAWA TENGAH,2009,33947.04
JAWA TENGAH,2010,40120.21
JAWA TENGAH,2011,38376
JAWA TENGAH,2012,42767
JAWA TENGAH,2013,44066
JAWA TENGAH,2014,44717
JAWA TENGAH,2015,34988.46
JAWA TENGAH,2016,31603.3
JAWA TENGAH,2017,32102.94
JAWA TENGAH,2018,31404.69
JAWA TENGAH,2019,38202.06
JAWA TENGAH,2020,34200.51
DI YOGYAKARTA,2000,5475
DI YOGYAKARTA,2001,6563
DI YOGYAKARTA,2002,6483
DI YOGYAKARTA,2003,7528
DI YOGYAKARTA,2004,6496
DI YOGYAKARTA,2005,8176
DI YOGYAKARTA,2006,25682
DI YOGYAKARTA,2007,8569
DI YOGYAKARTA,2008,5132.97
DI YOGYAKARTA,2009,5165.59
DI YOGYAKARTA,2010,5572.51
DI YOGYAKARTA,2011,6568
DI YOGYAKARTA,2012,5685
DI YOGYAKARTA,2013,5496
DI YOGYAKARTA,2014,6160
DI YOGYAKARTA,2015,6035.18
DI YOGYAKARTA,2016,6033.92
DI YOGYAKARTA,2017,5682.02
DI YOGYAKARTA,2018,6076.08
DI YOGYAKARTA,2019,5259.72
DI YOGYAKARTA,2020,5316.68
JAWA TIMUR,2000,42651
JAWA TIMUR,2001,42734
JAWA TIMUR,2002,47662
JAWA TIMUR,2003,59535
JAWA TIMUR,2004,60438
JAWA TIMUR,2005,61265
JAWA TIMUR,2006,62461
JAWA TIMUR,2007,65897
JAWA TIMUR,2008,67149.57
JAWA TIMUR,2009,38264.85
JAWA TIMUR,2010,38373.29
JAWA TIMUR,2011,38390
JAWA TIMUR,2012,38502
JAWA TIMUR,2013,38577
JAWA TIMUR,2014,37199
JAWA TIMUR,2015,35885.19
JAWA TIMUR,2016,31566.82
JAWA TIMUR,2017,42114.65
JAWA TIMUR,2018,43305.39
JAWA TIMUR,2019,49329.1
JAWA TIMUR,2020,50562.33
BANTEN,2000,
BANTEN,2001,8823
BANTEN,2002,9503
BANTEN,2003,4353
BANTEN,2004,6112
BANTEN,2005,7508
BANTEN,2006,7648
BANTEN,2007,12294
BANTEN,2008,7843.12
BANTEN,2009,12041.92
BANTEN,2010,14400.96
BANTEN,2011,9518
BANTEN,2012,8825
BANTEN,2013,8875
BANTEN,2014,9919
BANTEN,2015,20687.64
BANTEN,2016,6779.49
BANTEN,2017,11142.33
BANTEN,2018,4584.07
BANTEN,2019,3926.97
BANTEN,2020,4122.77
BALI,2000,5536
BALI,2001,5318
BALI,2002,4600
BALI,2003,4426
BALI,2004,4251
BALI,2005,3125
BALI,2006,5028
BALI,2007,2868
BALI,2008,295.54
BALI,2009,3066.74
BALI,2010,3111.39
BALI,2011,2945
BALI,2012,2799
BALI,2013,4686
BALI,2014,4681
BALI,2015,4631.38
BALI,2016,4486.19
BALI,2017,3715.37
BALI,2018,2649.73
BALI,2019,3248.27
BALI,2020,3313.24
NUSA TENGGARA BARAT,2000,1892
NUSA TENGGARA BARAT,2001,2177
NUSA TENGGARA BARAT,2002,2617
NUSA TENGGARA BARAT,2003,2727
NUSA TENGGARA BARAT,2004,3007
NUSA TENGGARA BARAT,2005,3353
NUSA TENGGARA BARAT,2006,7351
NUSA TENGGARA BARAT,2007,4566
NUSA TENGGARA BARAT,2008,5751.69
NUSA TENGGARA BARAT,2009,5799.01
NUSA TENGGARA BARAT,2010,6940.25
NUSA TENGGARA BARAT,2011,6899
NUSA TENGGARA BARAT,2012,6824
NUSA TENGGARA BARAT,2013,5914
NUSA TENGGARA BARAT,2014,6922
NUSA TENGGARA BARAT,2015,7180.42
NUSA TENGGARA BARAT,2016,8764.97
NUSA TENGGARA BARAT,2017,9608.99
NUSA TENGGARA BARAT,2018,11049.04
NUSA TENGGARA BARAT,2019,11193.84
NUSA TENGGARA BARAT,2020,11640.34
NUSA TENGGARA TIMUR,2000,6408
NUSA TENGGARA TIMUR,2001,8842
NUSA TENGGARA TIMUR,2002,9107
NUSA TENGGARA TIMUR,2003,9380
NUSA TENGGARA TIMUR,2004,8902
NUSA TENGGARA TIMUR,2005,9252
NUSA TENGGARA TIMUR,2006,9405
NUSA TENGGARA TIMUR,2007,9421
NUSA TENGGARA TIMUR,2008,8816.95
NUSA TENGGARA TIMUR,2009,9795
NUSA TENGGARA TIMUR,2010,9722.21
NUSA TENGGARA TIMUR,2011,11295
NUSA TENGGARA TIMUR,2012,14847
NUSA TENGGARA TIMUR,2013,11435
NUSA TENGGARA TIMUR,2014,11527
NUSA TENGGARA TIMUR,2015,11332.15
NUSA TENGGARA TIMUR,2016,11414.84
NUSA TENGGARA TIMUR,2017,11093.15
NUSA TENGGARA TIMUR,2018,11306.39
NUSA TENGGARA TIMUR,2019,10835.07
NUSA TENGGARA TIMUR,2020,11810.22
KALIMANTAN BARAT,2000,3596
KALIMANTAN BARAT,2001,4292
KALIMANTAN BARAT,2002,3703
KALIMANTAN BARAT,2003,2356
KALIMANTAN BARAT,2004,3705
KALIMANTAN BARAT,2005,3123
KALIMANTAN BARAT,2006,9340
KALIMANTAN BARAT,2007,3208
KALIMANTAN BARAT,2008,4335.91
KALIMANTAN BARAT,2009,5378.7
KALIMANTAN BARAT,2010,5307.25
KALIMANTAN BARAT,2011,6315
KALIMANTAN BARAT,2012,5992
KALIMANTAN BARAT,2013,13524
KALIMANTAN BARAT,2014,8109
KALIMANTAN BARAT,2015,4890.6
KALIMANTAN BARAT,2016,3745.84
KALIMANTAN BARAT,2017,3470.49
KALIMANTAN BARAT,2018,3417.27
KALIMANTAN BARAT,2019,3478.02
KALIMANTAN BARAT,2020,3207.11
KALIMANTAN TENGAH,2000,2289
KALIMANTAN TENGAH,2001,1245
KALIMANTAN TENGAH,2002,1310
KALIMANTAN TENGAH,2003,3233
KALIMANTAN TENGAH,2004,3371
KALIMANTAN TENGAH,2005,3446
KALIMANTAN TENGAH,2006,1816
KALIMANTAN TENGAH,2007,4518
KALIMANTAN TENGAH,2008,4698.72
KALIMANTAN TENGAH,2009,2280.82
KALIMANTAN TENGAH,2010,5250
KALIMANTAN TENGAH,2011,2692
KALIMANTAN TENGAH,2012,2070
KALIMANTAN TENGAH,2013,2125
KALIMANTAN TENGAH,2014,2018
KALIMANTAN TENGAH,2015,1903.26
KALIMANTAN TENGAH,2016,1829.87
KALIMANTAN TENGAH,2017,2333.19
KALIMANTAN TENGAH,2018,2010.58
KALIMANTAN TENGAH,2019,2180.88
KALIMANTAN TENGAH,2020,2235.4
KALIMANTAN SELATAN,2000,3858
KALIMANTAN SELATAN,2001,2957
KALIMANTAN SELATAN,2002,3024
KALIMANTAN SELATAN,2003,3278
KALIMANTAN SELATAN,2004,4423
KALIMANTAN SELATAN,2005,4974
KALIMANTAN SELATAN,2006,9376
KALIMANTAN SELATAN,2007,4583
KALIMANTAN SELATAN,2008,4877.3
KALIMANTAN SELATAN,2009,6196.82
KALIMANTAN SELATAN,2010,6018.38
KALIMANTAN SELATAN,2011,6392
KALIMANTAN SELATAN,2012,5748
KALIMANTAN SELATAN,2013,5978
KALIMANTAN SELATAN,2014,5362
KALIMANTAN SELATAN,2015,3873.43
KALIMANTAN SELATAN,2016,3856.99
KALIMANTAN SELATAN,2017,3263.71
KALIMANTAN SELATAN,2018,3110.17
KALIMANTAN SELATAN,2019,2738.09
KALIMANTAN SELATAN,2020,2803.09
KALIMANTAN TIMUR,2000,3272
KALIMANTAN TIMUR,2001,3338
KALIMANTAN TIMUR,2002,3404
KALIMANTAN TIMUR,2003,3631
KALIMANTAN TIMUR,2004,3412
KALIMANTAN TIMUR,2005,3416
KALIMANTAN TIMUR,2006,2800
KALIMANTAN TIMUR,2007,2924
KALIMANTAN TIMUR,2008,2415.37
KALIMANTAN TIMUR,2009,2441.1
KALIMANTAN TIMUR,2010,3045.53
KALIMANTAN TIMUR,2011,3046
KALIMANTAN TIMUR,2012,4786
KALIMANTAN TIMUR,2013,7882
KALIMANTAN TIMUR,2014,4739
KALIMANTAN TIMUR,2015,5042.6
KALIMANTAN TIMUR,2016,5271.61
KALIMANTAN TIMUR,2017,5989.69
KALIMANTAN TIMUR,2018,5051.22
KALIMANTAN TIMUR,2019,4833.71
KALIMANTAN TIMUR,2020,5075.39
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,1335
KALIMANTAN UTARA,2015,1520.72
KALIMANTAN UTARA,2016,1555.76
KALIMANTAN UTARA,2017,1281.59
KALIMANTAN UTARA,2018,941.18
KALIMANTAN UTARA,2019,1299.27
KALIMANTAN UTARA,2020,1310.66
SULAWESI UTARA,2000,2967
SULAWESI UTARA,2001,2270
SULAWESI UTARA,2002,2375
SULAWESI UTARA,2003,2289
SULAWESI UTARA,2004,2452
SULAWESI UTARA,2005,2321
SULAWESI UTARA,2006,1970
SULAWESI UTARA,2007,2185
SULAWESI UTARA,2008,2217.53
SULAWESI UTARA,2009,2280
SULAWESI UTARA,2010,2303.35
SULAWESI UTARA,2011,2391
SULAWESI UTARA,2012,2402
SULAWESI UTARA,2013,2443
SULAWESI UTARA,2014,2541
SULAWESI UTARA,2015,2560.97
SULAWESI UTARA,2016,2596.89
SULAWESI UTARA,2017,2612.22
SULAWESI UTARA,2018,2636.41
SULAWESI UTARA,2019,2701.35
SULAWESI UTARA,2020,2771.77
SULAWESI TENGAH,2000,1328
SULAWESI TENGAH,2001,1570
SULAWESI TENGAH,2002,1499
SULAWESI TENGAH,2003,1541
SULAWESI TENGAH,2004,1541
SULAWESI TENGAH,2005,1876
