Provinsi,Tahun,Cabai_Rawit_Ton
NUSA TENGGARA TIMUR,2017,5228
NUSA TENGGARA TIMUR,2018,5248
NUSA TENGGARA TIMUR,2019,8816
NUSA TENGGARA TIMUR,2020,10468
KALIMANTAN BARAT,2000,
KALIMANTAN BARAT,2001,
KALIMANTAN BARAT,2002,
KALIMANTAN BARAT,2003,3797
KALIMANTAN BARAT,2004,3776
KALIMANTAN BARAT,2005,5901
KALIMANTAN BARAT,2006,5487
KALIMANTAN BARAT,2007,4240
KALIMANTAN BARAT,2008,4861
KALIMANTAN BARAT,2009,7206
KALIMANTAN BARAT,2010,4372
KALIMANTAN BARAT,2011,6426
KALIMANTAN BARAT,2012,5474
KALIMANTAN BARAT,2013,5620
KALIMANTAN BARAT,2014,4563
KALIMANTAN BARAT,2015,4683
KALIMANTAN BARAT,2016,4754
KALIMANTAN BARAT,2017,4719
KALIMANTAN BARAT,2018,4166
KALIMANTAN BARAT,2019,5731
KALIMANTAN BARAT,2020,6133
KALIMANTAN TENGAH,2000,
KALIMANTAN TENGAH,2001,
KALIMANTAN TENGAH,2002,
KALIMANTAN TENGAH,2003,1866
KALIMANTAN TENGAH,2004,2266
KALIMANTAN TENGAH,2005,2705
KALIMANTAN TENGAH,2006,3237
KALIMANTAN TENGAH,2007,3480
KALIMANTAN TENGAH,2008,5656
KALIMANTAN TENGAH,2009,5856
KALIMANTAN TENGAH,2010,2514
KALIMANTAN TENGAH,2011,2974
KALIMANTAN TENGAH,2012,2874
KALIMANTAN TENGAH,2013,3885
KALIMANTAN TENGAH,2014,4116
KALIMANTAN TENGAH,2015,3239
KALIMANTAN TENGAH,2016,2845
KALIMANTAN TENGAH,2017,2774
KALIMANTAN TENGAH,2018,3639
KALIMANTAN TENGAH,2019,5864
KALIMANTAN TENGAH,2020,6124
KALIMANTAN SELATAN,2000,
KALIMANTAN SELATAN,2001,
KALIMANTAN SELATAN,2002,
KALIMANTAN SELATAN,2003,802
KALIMANTAN SELATAN,2004,1154
KALIMANTAN SELATAN,2005,2441
KALIMANTAN SELATAN,2006,4449
KALIMANTAN SELATAN,2007,6125
KALIMANTAN SELATAN,2008,5834
KALIMANTAN SELATAN,2009,3607
KALIMANTAN SELATAN,2010,3191
KALIMANTAN SELATAN,2011,2506
KALIMANTAN SELATAN,2012,2194
KALIMANTAN SELATAN,2013,2625
KALIMANTAN SELATAN,2014,3606
KALIMANTAN SELATAN,2015,4789
KALIMANTAN SELATAN,2016,7322
KALIMANTAN SELATAN,2017,11849
KALIMANTAN SELATAN,2018,12672
KALIMANTAN SELATAN,2019,13768
KALIMANTAN SELATAN,2020,15616
KALIMANTAN TIMUR,2000,
KALIMANTAN TIMUR,2001,
KALIMANTAN TIMUR,2002,
KALIMANTAN TIMUR,2003,1836
KALIMANTAN TIMUR,2004,12029
KALIMANTAN TIMUR,2005,7944
KALIMANTAN TIMUR,2006,8446
KALIMANTAN TIMUR,2007,7731
KALIMANTAN TIMUR,2008,9784
KALIMANTAN TIMUR,2009,8653
KALIMANTAN TIMUR,2010,7721
KALIMANTAN TIMUR,2011,7023
KALIMANTAN TIMUR,2012,7168
KALIMANTAN TIMUR,2013,7251
KALIMANTAN TIMUR,2014,8118
KALIMANTAN TIMUR,2015,5687
KALIMANTAN TIMUR,2016,5322
KALIMANTAN TIMUR,2017,6040
KALIMANTAN TIMUR,2018,6797
KALIMANTAN TIMUR,2019,8029
KALIMANTAN TIMUR,2020,9081
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,
KALIMANTAN UTARA,2015,1920
KALIMANTAN UTARA,2016,2997
KALIMANTAN UTARA,2017,2707
KALIMANTAN UTARA,2018,3298
KALIMANTAN UTARA,2019,3821
KALIMANTAN UTARA,2020,3330
SULAWESI UTARA,2000,
SULAWESI UTARA,2001,
SULAWESI UTARA,2002,
SULAWESI UTARA,2003,2448
SULAWESI UTARA,2004,8869
SULAWESI UTARA,2005,8498
SULAWESI UTARA,2006,2902
SULAWESI UTARA,2007,5661
SULAWESI UTARA,2008,5836
SULAWESI UTARA,2009,12901
SULAWESI UTARA,2010,9150
SULAWESI UTARA,2011,9180
SULAWESI UTARA,2012,9656
SULAWESI UTARA,2013,8461
SULAWESI UTARA,2014,8487
SULAWESI UTARA,2015,8284
SULAWESI UTARA,2016,12784
SULAWESI UTARA,2017,16915
SULAWESI UTARA,2018,16470
SULAWESI UTARA,2019,14760
SULAWESI UTARA,2020,22414
SULAWESI TENGAH,2000,
SULAWESI TENGAH,2001,
SULAWESI TENGAH,2002,
SULAWESI TENGAH,2003,990
SULAWESI TENGAH,2004,2428
SULAWESI TENGAH,2005,2296
SULAWESI TENGAH,2006,6232
SULAWESI TENGAH,2007,3928
SULAWESI TENGAH,2008,5059
SULAWESI TENGAH,2009,5435
SULAWESI TENGAH,2010,9957
SULAWESI TENGAH,2011,14818
SULAWESI TENGAH,2012,10158
SULAWESI TENGAH,2013,7660
SULAWESI TENGAH,2014,12520
SULAWESI TENGAH,2015,15924
SULAWESI TENGAH,2016,11635
SULAWESI TENGAH,2017,21230
SULAWESI TENGAH,2018,26091
SULAWESI TENGAH,2019,22632
SULAWESI TENGAH,2020,25042
SULAWESI SELATAN,2000,
SULAWESI SELATAN,2001,
