Provinsi,Tahun,Daging_Ayam_Petelur_Ton
DKI JAKARTA,2000,23
DKI JAKARTA,2001,11525
DKI JAKARTA,2002,10980
DKI JAKARTA,2003,11480
DKI JAKARTA,2004,9935
DKI JAKARTA,2005,7286
DKI JAKARTA,2006,11826
DKI JAKARTA,2007,12848
DKI JAKARTA,2008,12847
DKI JAKARTA,2009,12799.82
DKI JAKARTA,2010,13119.76
DKI JAKARTA,2011,13646
DKI JAKARTA,2012,4536
DKI JAKARTA,2013,541
DKI JAKARTA,2014,1337
DKI JAKARTA,2015,1367.52
DKI JAKARTA,2016,1831.5
DKI JAKARTA,2017,0
DKI JAKARTA,2018,0
DKI JAKARTA,2019,188.52
DKI JAKARTA,2020,207.37
JAWA BARAT,2000,6655
JAWA BARAT,2001,3963
JAWA BARAT,2002,4597
JAWA BARAT,2003,4521
JAWA BARAT,2004,5203
JAWA BARAT,2005,5443
JAWA BARAT,2006,5541
JAWA BARAT,2007,6136
JAWA BARAT,2008,5515
JAWA BARAT,2009,5568.94
JAWA BARAT,2010,6023.18
JAWA BARAT,2011,6404
JAWA BARAT,2012,6585
JAWA BARAT,2013,7512
JAWA BARAT,2014,7453
JAWA BARAT,2015,7523.81
JAWA BARAT,2016,10030.63
JAWA BARAT,2017,13519.99
JAWA BARAT,2018,12541.18
JAWA BARAT,2019,13128.81
JAWA BARAT,2020,13115.27
JAWA TENGAH,2000,1524
JAWA TENGAH,2001,1392
JAWA TENGAH,2002,1507
JAWA TENGAH,2003,2269
JAWA TENGAH,2004,1602
JAWA TENGAH,2005,3357
JAWA TENGAH,2006,9061
JAWA TENGAH,2007,6434
JAWA TENGAH,2008,4677
JAWA TENGAH,2009,3780.37
JAWA TENGAH,2010,9323.37
JAWA TENGAH,2011,7942
JAWA TENGAH,2012,9639
JAWA TENGAH,2013,9365
JAWA TENGAH,2014,9222
JAWA TENGAH,2015,8677.28
JAWA TENGAH,2016,8570.49
JAWA TENGAH,2017,10114.12
JAWA TENGAH,2018,11446.37
JAWA TENGAH,2019,10870.62
JAWA TENGAH,2020,9486.36
DI YOGYAKARTA,2000,464
DI YOGYAKARTA,2001,788
DI YOGYAKARTA,2002,1064
