Provinsi,Tahun,Bawang_Putih_Ton
DKI JAKARTA,2015,0
DKI JAKARTA,2016,0
DKI JAKARTA,2017,0
DKI JAKARTA,2018,
DKI JAKARTA,2019,0
DKI JAKARTA,2020,0
JAWA BARAT,2000,1373
JAWA BARAT,2001,177
JAWA BARAT,2002,1311
JAWA BARAT,2003,1415
JAWA BARAT,2004,1331
JAWA BARAT,2005,579
JAWA BARAT,2006,753
JAWA BARAT,2007,551
JAWA BARAT,2008,460
JAWA BARAT,2009,10
JAWA BARAT,2010,73
JAWA BARAT,2011,892
JAWA BARAT,2012,1877
JAWA BARAT,2013,1775
JAWA BARAT,2014,1594
JAWA BARAT,2015,1008
JAWA BARAT,2016,1548
JAWA BARAT,2017,1395
JAWA BARAT,2018,1327
JAWA BARAT,2019,6698
JAWA BARAT,2020,3253
JAWA TENGAH,2000,43219
JAWA TENGAH,2001,38374
JAWA TENGAH,2002,16605
JAWA TENGAH,2003,14296
JAWA TENGAH,2004,8133
JAWA TENGAH,2005,3717
JAWA TENGAH,2006,4316
JAWA TENGAH,2007,4299
JAWA TENGAH,2008,3152
JAWA TENGAH,2009,3045
JAWA TENGAH,2010,2389
JAWA TENGAH,2011,2209
JAWA TENGAH,2012,3945
JAWA TENGAH,2013,5240
JAWA TENGAH,2014,4071
JAWA TENGAH,2015,7964
JAWA TENGAH,2016,6818
JAWA TENGAH,2017,6043
JAWA TENGAH,2018,19546
JAWA TENGAH,2019,36179
JAWA TENGAH,2020,33304
DI YOGYAKARTA,2000,9
DI YOGYAKARTA,2001,0
DI YOGYAKARTA,2002,1
DI YOGYAKARTA,2003,1
DI YOGYAKARTA,2004,2
DI YOGYAKARTA,2005,0
DI YOGYAKARTA,2006,0
DI YOGYAKARTA,2007,0
DI YOGYAKARTA,2008,0
DI YOGYAKARTA,2009,10
DI YOGYAKARTA,2010,0
DI YOGYAKARTA,2011,2
DI YOGYAKARTA,2012,0
DI YOGYAKARTA,2013,0
DI YOGYAKARTA,2014,0
DI YOGYAKARTA,2015,0
DI YOGYAKARTA,2016,0
DI YOGYAKARTA,2017,0
DI YOGYAKARTA,2018,
DI YOGYAKARTA,2019,0
DI YOGYAKARTA,2020,1
JAWA TIMUR,2000,971
JAWA TIMUR,2001,857
JAWA TIMUR,2002,9507
JAWA TIMUR,2003,4303
JAWA TIMUR,2004,4185
JAWA TIMUR,2005,1281
JAWA TIMUR,2006,1772
JAWA TIMUR,2007,1169
JAWA TIMUR,2008,919
JAWA TIMUR,2009,887
JAWA TIMUR,2010,1412
JAWA TIMUR,2011,1615
JAWA TIMUR,2012,919
JAWA TIMUR,2013,624
JAWA TIMUR,2014,671
JAWA TIMUR,2015,528
JAWA TIMUR,2016,778
JAWA TIMUR,2017,653
JAWA TIMUR,2018,3508
JAWA TIMUR,2019,6935
JAWA TIMUR,2020,5898
BANTEN,2000,
BANTEN,2001,2
BANTEN,2002,0
BANTEN,2003,0
BANTEN,2004,0
BANTEN,2005,0
BANTEN,2006,0
BANTEN,2007,0
BANTEN,2008,0
BANTEN,2009,0
BANTEN,2010,0
BANTEN,2011,0
BANTEN,2012,0
BANTEN,2013,0
BANTEN,2014,0
BANTEN,2015,0
BANTEN,2016,0
BANTEN,2017,0
BANTEN,2018,
BANTEN,2019,0
BANTEN,2020,0
BALI,2000,1526
BALI,2001,273
BALI,2002,1397
BALI,2003,1074
BALI,2004,738
BALI,2005,738
BALI,2006,1358
BALI,2007,1344
BALI,2008,923
BALI,2009,933
BALI,2010,598
BALI,2011,91
BALI,2012,85
BALI,2013,48
BALI,2014,31
BALI,2015,94
BALI,2016,41
BALI,2017,0
BALI,2018,108
BALI,2019,1563
BALI,2020,1329
NUSA TENGGARA BARAT,2000,757
NUSA TENGGARA BARAT,2001,408
NUSA TENGGARA BARAT,2002,4249
NUSA TENGGARA BARAT,2003,1256
NUSA TENGGARA BARAT,2004,1711
NUSA TENGGARA BARAT,2005,6440
NUSA TENGGARA BARAT,2006,7169
NUSA TENGGARA BARAT,2007,5699
NUSA TENGGARA BARAT,2008,2623
NUSA TENGGARA BARAT,2009,6476
NUSA TENGGARA BARAT,2010,4510
NUSA TENGGARA BARAT,2011,6923
NUSA TENGGARA BARAT,2012,7929
NUSA TENGGARA BARAT,2013,5708
NUSA TENGGARA BARAT,2014,9402
NUSA TENGGARA BARAT,2015,9779
NUSA TENGGARA BARAT,2016,11001
NUSA TENGGARA BARAT,2017,10245
NUSA TENGGARA BARAT,2018,13117
NUSA TENGGARA BARAT,2019,30453
NUSA TENGGARA BARAT,2020,24609
NUSA TENGGARA TIMUR,2000,475
NUSA TENGGARA TIMUR,2001,321
NUSA TENGGARA TIMUR,2002,493
NUSA TENGGARA TIMUR,2003,390
NUSA TENGGARA TIMUR,2004,682
NUSA TENGGARA TIMUR,2005,1764
NUSA TENGGARA TIMUR,2006,1633
NUSA TENGGARA TIMUR,2007,2126
NUSA TENGGARA TIMUR,2008,1618
NUSA TENGGARA TIMUR,2009,1691
NUSA TENGGARA TIMUR,2010,340
NUSA TENGGARA TIMUR,2011,307
NUSA TENGGARA TIMUR,2012,119
NUSA TENGGARA TIMUR,2013,104
NUSA TENGGARA TIMUR,2014,180
NUSA TENGGARA TIMUR,2015,237
NUSA TENGGARA TIMUR,2016,273
NUSA TENGGARA TIMUR,2017,216
NUSA TENGGARA TIMUR,2018,453
NUSA TENGGARA TIMUR,2019,868
NUSA TENGGARA TIMUR,2020,974
KALIMANTAN BARAT,2000,0
KALIMANTAN BARAT,2001,0
KALIMANTAN BARAT,2002,0
KALIMANTAN BARAT,2003,0
KALIMANTAN BARAT,2004,0
KALIMANTAN BARAT,2005,0
KALIMANTAN BARAT,2006,0
KALIMANTAN BARAT,2007,0
KALIMANTAN BARAT,2008,0
KALIMANTAN BARAT,2009,0
KALIMANTAN BARAT,2010,0
KALIMANTAN BARAT,2011,0
KALIMANTAN BARAT,2012,0
KALIMANTAN BARAT,2013,0
KALIMANTAN BARAT,2014,0
KALIMANTAN BARAT,2015,0
KALIMANTAN BARAT,2016,0
KALIMANTAN BARAT,2017,0
KALIMANTAN BARAT,2018,
KALIMANTAN BARAT,2019,0
KALIMANTAN BARAT,2020,0
KALIMANTAN TENGAH,2000,0
KALIMANTAN TENGAH,2001,0
KALIMANTAN TENGAH,2002,0
KALIMANTAN TENGAH,2003,0
KALIMANTAN TENGAH,2004,0
KALIMANTAN TENGAH,2005,0
KALIMANTAN TENGAH,2006,0
KALIMANTAN TENGAH,2007,0
KALIMANTAN TENGAH,2008,0
KALIMANTAN TENGAH,2009,0
KALIMANTAN TENGAH,2010,0
KALIMANTAN TENGAH,2011,0
KALIMANTAN TENGAH,2012,0
KALIMANTAN TENGAH,2013,0
KALIMANTAN TENGAH,2014,0
KALIMANTAN TENGAH,2015,0
KALIMANTAN TENGAH,2016,0
