Provinsi,Tahun,Semangka_Ton,Salak_Ton,Nanas_Ton,Nangka_Ton,Mangga_Ton,JerukBesar_Ton,JambuAir_Ton,Pepaya_Ton,Rambutan_Ton,Alpukat_Ton,Durian_Ton,JambuBiji_Ton
MALUKU UTARA,2019,1321,4038,353,2185,2843,396,158,1533,1898,931,2383,264
PAPUA BARAT,2019,405,2600,437,3033,3427,324,320,2403,3627,339,2813,692
PAPUA,2019,8135,73,71,721,1331,184,60,763,240,137,128,216
ACEH,2018,13669,232,1203,8219,19104,7446,1815,10685,19679,8844,24149,1377
SUMATERA UTARA,2018,68821,194455,145618,10881,26434,1256,15422,24867,16841,15863,82873,11382
SUMATERA BARAT,2018,10767,1182,190,10832,11828,306,2384,41943,12092,48513,57670,3293
RIAU,2018,17178,2334,95019,23789,19743,1405,3995,19783,21904,789,27443,6060
JAMBI,2018,3662,1423,47275,13891,3869,422,1036,11846,7609,3236,20392,1287
SUMATERA SELATAN,2018,18897,2616,134895,18466,24168,723,3641,21081,17255,28902,56843,3568
BENGKULU,2018,724,1253,200,4418,5390,288,462,3999,5925,6490,15058,673
LAMPUNG,2018,16843,3472,622881,41189,25184,1385,5371,64813,26165,13676,29684,6726
KEP. BANGKA BELITUNG,2018,2106,610,6089,2149,2011,86,787,1775,2655,468,7189,324
KEP. RIAU,2018,3999,192,1952,2578,1303,95,138,2189,5280,81,4582,260
DKI JAKARTA,2018,,321,,228,3406,12,791,394,1057,96,73,572
JAWA BARAT,2018,23319,18621,180802,79988,404543,4348,14188,97122,105734,91383,95056,46332
JAWA TENGAH,2018,57618,416860,202823,141822,443487,16739,24896,102862,113741,44522,143227,63716
DI YOGYAKARTA,2018,3709,90296,419,13382,61171,632,2288,6816,10288,3149,6596,2412
JAWA TIMUR,2018,126750,101943,139234,135703,1059325,18896,17874,262160,137049,108381,276426,46073
BANTEN,2018,953,803,509,6167,33431,217,2893,12248,14219,1926,77629,2459
BALI,2018,16219,23602,923,17836,62127,913,918,10283,15030,2242,24585,2071
NUSA TENGGARA BARAT,2018,18596,26,130963,81112,151354,1168,2029,11910,12662,2984,13491,9308
NUSA TENGGARA TIMUR,2018,1099,1304,4865,19340,47291,3332,595,55068,3365,12189,2008,4008
KALIMANTAN BARAT,2018,4007,4062,29492,12027,6752,1098,1729,14357,17062,292,25282,1625
KALIMANTAN TENGAH,2018,8421,753,9181,18664,4321,717,753,3066,16154,115,11233,1417
KALIMANTAN SELATAN,2018,27891,1256,12157,27683,11292,2500,2465,9234,31864,31,25292,2079
KALIMANTAN TIMUR,2018,11572,9931,24931,21024,6386,628,922,18317,10674,1017,9194,2276
KALIMANTAN UTARA,2018,987,1005,577,10511,8899,402,414,11468,18479,65,15517,279
SULAWESI UTARA,2018,270,2559,2058,3657,14110,308,159,6393,4986,2760,9355,332
SULAWESI TENGAH,2018,4530,1220,6402,3325,9434,515,320,2191,5571,1949,13944,338
SULAWESI SELATAN,2018,7433,12203,1525,25468,120968,33314,1251,37669,41001,7272,35808,8072
SULAWESI TENGGARA,2018,938,748,1714,5561,12824,1742,1450,10034,7658,643,6861,1252
GORONTALO,2018,8,,439,1636,3307,117,11,694,480,25,4410,29
SULAWESI BARAT,2018,76,85,334,6728,8930,194,153,2149,10647,594,9575,158
MALUKU,2018,1951,895,463,4041,8280,476,385,8274,1384,946,9303,567
MALUKU UTARA,2018,112,73,222,1031,400,237,59,964,438,212,266,187
PAPUA BARAT,2018,158,49,38,103,356,35,33,46,203,45,424,13
PAPUA,2018,8461,120,113,2031,3363,447,176,891,784,394,664,172
ACEH,2017,8018,297,513,8338,17350,12635,2196,12232,19567,8427,21241,1435
SUMATERA UTARA,2017,63811,162622,160552,9971,24692,18076,11714,29570,15266,15123,64659,9807
SUMATERA BARAT,2017,14755,1377,192,11002,7703,210,2342,33252,14730,50247,74540,3460
RIAU,2017,18272,3000,79327,17226,14668,848,2937,14163,16760,653,12369,5630
JAMBI,2017,2388,1009,44265,10403,3214,485,1295,13694,8226,2186,21372,1073
SUMATERA SELATAN,2017,17430,2404,109071,18575,12047,1393,3494,19394,9360,35178,19930,2938
BENGKULU,2017,1505,1059,172,3735,5226,834,587,3252,7056,5066,11555,554
LAMPUNG,2017,26368,4826,633095,40247,21139,323,4997,80364,15274,13569,33019,8320
KEP. BANGKA BELITUNG,2017,1971,576,4311,1933,1657,38,736,2545,1409,333,3195,293
KEP. RIAU,2017,4302,553,1757,2416,1110,49,219,2463,2029,79,2190,329
DKI JAKARTA,2017,0,405,0,365,6000,14,1838,457,1863,469,44,1028
JAWA BARAT,2017,26085,13960,246698,58830,325457,2886,14864,85139,57552,82663,66314,44246
JAWA TENGAH,2017,67714,576361,85938,117296,389019,13196,22946,136659,103602,36528,91385,52805
DI YOGYAKARTA,2017,5925,37913,533,12824,32238,371,2725,6038,12407,3777,6767,2117
JAWA TIMUR,2017,120295,97164,126963,108448,898595,20543,13735,241537,108247,78067,227952,33244
BANTEN,2017,1039,400,218,3399,18363,81,2528,7948,8154,1349,22628,2072
BALI,2017,24547,22602,427,18066,56479,619,744,6329,12921,2261,8435,1672
NUSA TENGGARA BARAT,2017,6062,41,138623,95877,165250,1765,2005,10300,12320,4467,11948,8382
NUSA TENGGARA TIMUR,2017,767,1006,5354,15475,42508,4544,445,51446,2194,9639,1089,3265
KALIMANTAN BARAT,2017,3679,1484,72504,9067,3871,988,1355,10494,11598,289,15022,1596
KALIMANTAN TENGAH,2017,4516,369,7646,8686,1659,482,521,3093,5405,65,4098,1328
KALIMANTAN SELATAN,2017,44197,740,11639,18455,7946,3124,2147,6403,20644,59,6954,1695
KALIMANTAN TIMUR,2017,10252,2233,30489,14196,5423,995,845,16156,9037,1207,7166,2208
KALIMANTAN UTARA,2017,482,589,277,5962,5549,243,222,10417,12507,32,5359,181
SULAWESI UTARA,2017,93,567,1534,1617,6620,243,162,9480,2791,2105,4317,337
SULAWESI TENGAH,2017,6019,785,29424,3428,7012,378,518,3092,2663,2284,13770,556
SULAWESI SELATAN,2017,7163,8313,1360,24477,97026,42058,1138,39226,18660,4325,17068,8093
SULAWESI TENGGARA,2017,837,620,1294,4690,7393,1181,690,5147,3418,515,2622,875
GORONTALO,2017,27,1,467,2166,1934,73,12,715,940,30,4034,35
SULAWESI BARAT,2017,119,96,387,3877,8272,137,239,4940,4429,502,5954,175
MALUKU,2017,802,877,573,4167,7114,321,402,7265,1345,1176,6479,453
MALUKU UTARA,2017,352,9449,188,808,975,84,98,772,896,183,1278,82
PAPUA BARAT,2017,104,70,125,135,105,22,77,253,132,102,158,45
PAPUA,2017,9573,77,69,426,177,891,146,873,298,193,293,158
ACEH,2016,15522,230,649,7215,21204,13391,2567,12798,16479,5026,23887,1492
SUMATERA UTARA,2016,41101,118619,163504,10253,21500,8598,5729,20234,17802,14104,74811,10049
SUMATERA BARAT,2016,16927,1413,194,10511,12265,129,2191,25143,18609,44457,43885,3364
RIAU,2016,17849,2258,94129,10722,9946,327,1774,12158,6280,585,6912,3618
JAMBI,2016,3547,1052,66094,12574,2884,1147,1108,18985,5672,1623,13704,1141
SUMATERA SELATAN,2016,20526,2800,57291,13134,11153,594,2742,20214,11050,15603,14205,2226
BENGKULU,2016,1622,996,156,3155,3923,287,433,5053,4535,4904,12999,695
LAMPUNG,2016,24951,3773,453812,40163,21359,402,4920,88107,20598,11652,28481,6137
KEP. BANGKA BELITUNG,2016,1503,1047,5266,3960,1907,46,598,2335,2128,338,1760,330
KEP. RIAU,2016,3341,358,932,3232,1426,55,217,1659,8556,80,2965,272
DKI JAKARTA,2016,0,493,0,564,3798,10,1952,339,941,512,36,1275
JAWA BARAT,2016,17009,17007,209348,58767,260107,4739,12880,86576,69669,63509,56662,42555
JAWA TENGAH,2016,60013,354770,102426,100549,334596,14974,21380,139028,81977,33123,74968,60802
DI YOGYAKARTA,2016,9640,77805,350,26414,19613,390,3204,14756,22726,6047,8327,3359
JAWA TIMUR,2016,129749,73741,65102,118025,655692,19946,10570,235370,97013,72502,201687,30527
BANTEN,2016,1201,1405,259,5943,26614,138,2340,8262,17367,689,6890,4377
BALI,2016,16352,22220,569,20758,42391,521,786,5085,14658,2205,11158,1616
NUSA TENGGARA BARAT,2016,6562,39,75640,65794,109069,2177,2453,7779,14103,2352,13064,9020
NUSA TENGGARA TIMUR,2016,597,1107,5224,20913,88975,2430,955,63201,5427,10178,1690,3817
KALIMANTAN BARAT,2016,6045,1109,34951,6472,4339,1055,1480,9786,9670,349,11677,1438
KALIMANTAN TENGAH,2016,4364,728,7466,13006,6240,1055,978,2206,11312,142,7365,1679
KALIMANTAN SELATAN,2016,35444,677,15652,19774,7586,649,819,3841,21646,64,12548,1594
KALIMANTAN TIMUR,2016,13945,7023,9373,16298,5181,1257,955,14572,14928,586,9079,2085
KALIMANTAN UTARA,2016,508,539,261,3545,5605,114,326,8547,5122,39,4364,164
SULAWESI UTARA,2016,490,283,14407,3067,8600,434,199,6877,3545,2828,8561,447
SULAWESI TENGAH,2016,6873,1419,7889,5516,10940,419,647,10503,7403,3239,17667,509
SULAWESI SELATAN,2016,13255,7576,1494,33569,86081,44463,1451,51189,38621,5426,37139,9238
SULAWESI TENGGARA,2016,1385,459,1165,5782,7415,2296,957,7867,10435,690,3061,1093
GORONTALO,2016,41,3,217,1079,4284,42,53,923,440,12,1298,39
SULAWESI BARAT,2016,313,339,907,6964,11747,962,899,8062,8775,434,16146,976
MALUKU,2016,924,581,813,4101,6076,800,603,10002,2531,1069,5915,615
MALUKU UTARA,2016,655,182,215,2075,1636,204,191,1390,1702,283,2119,170
PAPUA BARAT,2016,1410,107,44,122,143,30,27,156,253,70,155,29
PAPUA,2016,7233,192,354,898,255,179,298,1281,220,218,238,237
ACEH,2015,15962,179,790,7854,18689,12021,2153,11189,14457,4583,16999,1492
SUMATERA UTARA,2015,73861,192585,223128,11018,32173,2956,6821,26305,24953,11833,65529,8807
SUMATERA BARAT,2015,20058,1766,213,7862,6712,299,1720,14950,17527,53425,52503,2531
RIAU,2015,13702,1569,74388,10381,10248,370,1277,7038,9960,533,12366,3246
JAMBI,2015,2277,864,142845,19703,4323,345,857,21389,7841,10435,16140,1420
