Provinsi,Tahun,Daging_Sapi_Ton
KEP. RIAU,2014,2663
KEP. RIAU,2015,2660.9
KEP. RIAU,2016,2668.8
KEP. RIAU,2017,1470.16
KEP. RIAU,2018,1164.33
KEP. RIAU,2019,1384.08
KEP. RIAU,2020,1400.91
DKI JAKARTA,2000,14282
DKI JAKARTA,2001,14888
DKI JAKARTA,2002,13719
DKI JAKARTA,2003,16610
DKI JAKARTA,2004,13045
DKI JAKARTA,2005,10060.83
DKI JAKARTA,2006,8505.41
DKI JAKARTA,2007,7051
DKI JAKARTA,2008,8562
DKI JAKARTA,2009,5657
DKI JAKARTA,2010,6058
DKI JAKARTA,2011,9413
DKI JAKARTA,2012,12206
DKI JAKARTA,2013,18021
DKI JAKARTA,2014,19260
DKI JAKARTA,2015,20165.99
DKI JAKARTA,2016,23125.67
DKI JAKARTA,2017,15611.43
DKI JAKARTA,2018,15867.13
DKI JAKARTA,2019,19194.53
DKI JAKARTA,2020,19194.53
JAWA BARAT,2000,74256
JAWA BARAT,2001,70933
JAWA BARAT,2002,65199
JAWA BARAT,2003,74898
JAWA BARAT,2004,79029
JAWA BARAT,2005,72528.64
JAWA BARAT,2006,77759
JAWA BARAT,2007,50646
JAWA BARAT,2008,70010
JAWA BARAT,2009,70662
JAWA BARAT,2010,76066
JAWA BARAT,2011,78476
JAWA BARAT,2012,74312
JAWA BARAT,2013,71881
JAWA BARAT,2014,67073
JAWA BARAT,2015,75477.94
JAWA BARAT,2016,73318.66
JAWA BARAT,2017,72499.52
JAWA BARAT,2018,81625.91
JAWA BARAT,2019,79481.14
JAWA BARAT,2020,82947.88
JAWA TENGAH,2000,54578
JAWA TENGAH,2001,55466
JAWA TENGAH,2002,57101
JAWA TENGAH,2003,62484
JAWA TENGAH,2004,65106
JAWA TENGAH,2005,53963.24
JAWA TENGAH,2006,50326.16
JAWA TENGAH,2007,46855
JAWA TENGAH,2008,45736
JAWA TENGAH,2009,48340
JAWA TENGAH,2010,51001
JAWA TENGAH,2011,60322
JAWA TENGAH,2012,60893
JAWA TENGAH,2013,61141
JAWA TENGAH,2014,55988
JAWA TENGAH,2015,55332.3
JAWA TENGAH,2016,58168.84
JAWA TENGAH,2017,59902.61
JAWA TENGAH,2018,64755.61
JAWA TENGAH,2019,66681.14
JAWA TENGAH,2020,64154.43
DI YOGYAKARTA,2000,5034
DI YOGYAKARTA,2001,4788
DI YOGYAKARTA,2002,4885
DI YOGYAKARTA,2003,5070
DI YOGYAKARTA,2004,6848
DI YOGYAKARTA,2005,6069.14
DI YOGYAKARTA,2006,7264.3
DI YOGYAKARTA,2007,4924
DI YOGYAKARTA,2008,4628
DI YOGYAKARTA,2009,5384
DI YOGYAKARTA,2010,5690
DI YOGYAKARTA,2011,7657
DI YOGYAKARTA,2012,8896
DI YOGYAKARTA,2013,8637
DI YOGYAKARTA,2014,8611
DI YOGYAKARTA,2015,7583.82
DI YOGYAKARTA,2016,7782.78
DI YOGYAKARTA,2017,8046.93
DI YOGYAKARTA,2018,9272.92
DI YOGYAKARTA,2019,7835.21
DI YOGYAKARTA,2020,7338.04
JAWA TIMUR,2000,84282
JAWA TIMUR,2001,78110
JAWA TIMUR,2002,71650
JAWA TIMUR,2003,77359
JAWA TIMUR,2004,78069
JAWA TIMUR,2005,78349.07
JAWA TIMUR,2006,79091.37
JAWA TIMUR,2007,81538
JAWA TIMUR,2008,85173
JAWA TIMUR,2009,107768
JAWA TIMUR,2010,109016
JAWA TIMUR,2011,112447
JAWA TIMUR,2012,110762
JAWA TIMUR,2013,100707
JAWA TIMUR,2014,97908
JAWA TIMUR,2015,95430.98
JAWA TIMUR,2016,101729.08
JAWA TIMUR,2017,96917.01
JAWA TIMUR,2018,96727.91
JAWA TIMUR,2019,103291.79
JAWA TIMUR,2020,105874.08
BANTEN,2000,
BANTEN,2001,9117
BANTEN,2002,9345
BANTEN,2003,4311
BANTEN,2004,15928
BANTEN,2005,13831.62
BANTEN,2006,15371.59
BANTEN,2007,14875
BANTEN,2008,25882
BANTEN,2009,18728
